fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
7.1,0.4,0.20,2.8,0.038,28,109,0.9897,3.23,0.47,13.4,6,white
9.1,0.3,0.46,9.0,0.114,3,9,0.9990,3.18,0.60,10.9,6,red
6.7,0.2,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7,white
5.7,0.3,0.35,1.2,0.052,39,141,0.9911,3.44,0.69,11.3,6,white
6.6,0.5,0.26,11.3,0.029,32,110,0.9930,3.27,0.78,12.9,8,white
6.3,0.2,0.24,1.7,0.052,36,135,0.9937,3.80,0.66,10.8,6,white
6.6,0.4,0.32,1.4,0.050,10,68,0.9920,3.08,0.39,11.3,6,white
6.8,0.3,0.43,7.6,0.030,30,110,0.9916,3.08,0.59,12.5,8,white
6.1,0.4,0.33,1.1,0.050,24,169,0.9927,3.15,0.78,9.5,6,white
7.4,0.2,0.31,14.5,0.045,39,193,0.9986,3.10,0.50,9.2,6,white
5.8,0.2,0.30,1.1,0.047,36,131,0.9920,3.26,0.45,10.4,5,white
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6,white
5.6,0.2,0.47,4.5,0.030,19,112,0.9922,3.56,0.45,11.2,6,white
7.4,0.3,0.26,15.6,0.049,67,210,0.9991,3.06,0.68,9.5,5,white
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13.0,7,white
7.1,0.9,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5,white
7.4,0.6,0.19,1.8,0.082,15,34,0.9966,3.49,0.68,10.5,5,red
7.0,0.2,0.33,2.1,0.052,15,76,0.9930,3.20,0.41,10.6,6,white
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10.0,7,white
8.5,0.7,0.62,2.2,0.112,13,96,0.9971,3.15,0.54,8.9,5,red
13.3,0.3,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7,red
5.8,0.1,0.15,6.1,0.042,27,123,0.9936,3.06,0.60,9.9,6,white
8.9,0.6,0.34,3.0,0.093,16,112,0.9998,3.38,0.61,9.5,5,red
7.8,0.5,0.12,1.8,0.178,6,21,0.9960,3.28,0.87,9.8,6,red
6.7,0.6,0.19,1.9,0.080,7,63,0.9969,3.53,0.58,9.2,6,red
7.4,0.6,0.07,2.4,0.090,11,37,0.9979,3.43,0.76,9.7,6,red
8.9,0.6,0.49,2.1,0.269,23,110,0.9973,3.12,1.02,9.4,5,red
7.0,0.4,0.41,5.4,0.073,28,127,0.9973,3.43,0.71,10.4,6,red
6.4,0.2,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7,white
7.4,0.3,0.43,6.0,0.022,22,125,0.9928,3.13,0.55,11.5,6,white
5.5,0.1,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9.0,5,white
7.2,0.2,0.28,1.9,0.032,30,92,0.9914,3.10,0.39,10.9,6,white
7.2,0.4,0.54,1.4,0.157,34,132,0.9945,3.11,0.53,9.0,6,white
7.9,0.7,0.17,2.6,0.096,20,38,0.9978,3.40,0.53,9.5,5,red
10.5,0.2,0.47,2.1,0.066,6,24,0.9978,3.15,0.90,11.0,7,red
6.8,0.6,0.04,1.3,0.058,25,133,0.9927,3.17,0.39,10.2,4,white
6.6,0.6,0.01,2.7,0.034,56,122,0.9906,3.15,0.30,11.9,5,white
7.3,0.7,0.00,2.2,0.080,18,28,0.9977,3.41,0.60,9.4,5,red
7.3,0.6,0.01,1.8,0.093,9,15,0.9951,3.35,0.58,11.0,7,red
7.4,0.3,0.32,1.7,0.030,23,128,0.9929,3.17,0.66,10.9,5,white
6.6,0.2,0.26,17.3,0.051,17,149,0.9984,3.00,0.43,9.4,6,white
5.8,0.2,0.29,0.9,0.034,34,89,0.9894,3.14,0.36,11.1,7,white
8.1,0.2,0.38,4.3,0.044,49,172,0.9960,3.37,0.74,10.8,6,white
6.1,0.3,0.33,10.7,0.036,27,98,0.9952,3.34,0.52,10.2,6,white
4.9,0.3,0.14,1.3,0.036,69,168,0.9921,3.47,0.46,10.5,5,white
6.4,0.3,0.27,5.0,0.058,27,151,0.9920,3.22,0.49,12.2,6,white
5.8,0.3,0.38,4.8,0.032,23,96,0.9911,3.43,0.41,12.0,7,white
6.6,0.3,0.24,7.2,0.038,28,137,0.9952,3.35,0.60,10.4,6,white
6.0,0.3,0.26,5.1,0.051,16,119,0.9942,3.15,0.41,9.2,5,white
6.8,0.1,0.35,1.5,0.047,40,117,0.9911,3.07,0.72,11.1,6,white
5.9,0.2,0.28,4.6,0.053,40,199,0.9964,3.72,0.70,10.0,4,white
6.8,0.2,0.36,1.4,0.036,38,108,0.9901,3.19,0.66,12.0,6,white
6.3,0.2,0.30,2.0,0.050,23,120,0.9920,3.24,0.47,10.4,6,white
7.2,0.2,0.38,13.5,0.059,49,190,0.9973,3.03,0.44,9.0,5,white
6.1,0.3,0.34,2.8,0.042,60,162,0.9918,3.27,0.47,10.8,6,white
5.8,0.2,0.13,1.4,0.033,60,248,0.9936,3.35,0.46,9.5,7,white
5.4,0.4,0.40,3.3,0.054,29,147,0.9948,3.42,0.52,9.1,5,white
7.1,0.6,0.01,2.3,0.080,27,43,0.9955,3.42,0.58,10.7,6,red
6.3,1.0,0.01,2.0,0.057,15,33,0.9949,3.60,0.46,11.2,6,red
9.2,0.5,0.23,2.6,0.091,18,77,0.9992,3.15,0.51,9.4,5,red
9.1,0.3,0.49,2.0,0.059,10,112,0.9958,3.15,0.46,10.1,5,white
6.1,0.3,0.44,6.7,0.041,61,230,0.9951,3.12,0.40,8.9,5,white
12.4,0.4,0.51,2.0,0.059,6,24,0.9994,3.04,0.60,9.3,6,red
7.5,0.5,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,red
6.5,0.2,0.38,1.0,0.027,31,90,0.9893,3.24,0.36,12.3,6,white
5.9,0.3,0.30,1.0,0.038,38,115,0.9927,3.59,0.48,9.3,5,white
7.1,0.4,0.40,2.0,0.033,26,118,0.9893,3.20,0.45,13.5,7,white
5.1,0.4,0.21,1.7,0.027,15,72,0.9894,3.50,0.45,12.5,6,white
6.4,0.2,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5,white
7.5,0.2,0.34,1.2,0.060,26,111,0.9931,3.51,0.47,10.7,6,white
6.9,0.3,0.34,1.6,0.032,23,128,0.9917,3.37,0.47,11.7,6,white
6.8,0.1,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7,white
7.0,0.4,0.30,2.0,0.085,6,39,0.9935,3.33,0.46,11.9,6,red
6.8,0.4,0.34,7.4,0.020,38,133,0.9921,3.18,0.44,12.0,7,white
6.6,0.3,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,white
8.4,0.3,0.30,2.2,0.037,36,129,0.9909,2.89,0.30,11.5,6,white
7.4,0.4,0.26,9.6,0.050,33,134,0.9961,3.13,0.46,10.4,5,white
8.2,0.3,0.44,12.4,0.043,52,154,0.9945,3.04,0.33,12.0,6,white
6.8,0.2,0.22,9.8,0.058,65,188,0.9950,3.13,0.48,10.6,5,white
6.9,0.3,0.27,4.2,0.031,20,80,0.9909,3.12,0.39,11.5,6,white
6.7,0.7,0.07,2.5,0.087,18,81,0.9959,3.34,0.55,10.1,5,red
6.7,0.2,0.29,1.0,0.043,38,99,0.9905,3.21,0.69,11.3,5,white
6.8,0.4,0.36,1.5,0.089,17,39,0.9962,3.33,0.55,9.4,5,red
10.8,0.3,0.44,1.6,0.063,15,39,0.9985,3.23,0.78,9.9,6,red
7.2,0.6,0.26,2.0,0.083,13,100,0.9959,3.26,0.52,9.9,5,red
8.0,0.5,0.17,1.4,0.082,22,102,0.9961,3.39,0.48,9.5,5,red
6.6,0.6,0.28,4.4,0.032,19,78,0.9904,3.11,0.62,12.9,6,white
6.5,0.3,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5,white
7.1,0.2,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6,white
8.0,0.4,0.17,2.1,0.075,5,18,0.9972,3.27,0.61,9.2,6,red
7.5,0.2,0.31,13.1,0.050,26,180,0.9988,3.05,0.53,9.1,6,white
6.0,0.3,0.18,3.0,0.036,5,85,0.9913,3.28,0.40,11.5,4,white
7.1,0.2,0.29,8.7,0.044,35,222,0.9953,3.25,0.54,10.4,6,white
6.7,0.3,0.24,4.7,0.060,50,238,0.9958,3.34,0.60,9.7,6,white
9.4,0.6,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5,red
6.7,0.3,0.40,2.1,0.033,34,111,0.9892,2.97,0.48,12.2,7,white
6.9,0.2,0.33,12.8,0.056,44,169,0.9980,3.42,0.42,9.8,6,white
9.9,0.6,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,red
6.6,0.8,0.50,1.5,0.045,30,133,0.9910,3.25,0.48,11.7,5,white
5.3,0.5,0.11,2.2,0.048,16,89,0.9918,3.54,0.88,13.6,7,red
9.2,0.2,0.49,2.0,0.044,18,107,0.9951,3.10,0.53,10.2,4,white
6.9,0.3,0.25,12.2,0.040,29,136,0.9955,3.05,0.65,10.4,6,white
7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6,white
7.8,0.3,0.27,1.2,0.040,25,106,0.9932,3.01,0.55,10.4,5,white
7.7,0.3,0.43,4.5,0.062,20,115,0.9966,3.38,0.50,9.9,6,white
7.9,0.5,0.34,2.6,0.049,13,135,0.9934,3.09,0.51,10.0,5,white
10.6,1.0,0.43,2.8,0.080,21,84,0.9985,3.06,0.57,10.1,5,red
6.1,0.3,0.28,9.8,0.042,61,125,0.9953,3.14,0.42,10.2,6,white
5.3,0.2,0.56,0.9,0.041,46,141,0.9912,3.16,0.62,9.7,5,white
8.3,0.3,0.39,2.4,0.078,17,43,0.9944,3.31,0.77,12.5,7,red
5.9,0.2,0.23,1.5,0.037,38,93,0.9902,3.36,0.49,12.0,6,white
7.5,0.3,0.21,6.6,0.026,33,143,0.9924,2.92,0.35,11.1,5,white
7.2,0.2,0.31,10.5,0.035,36,122,0.9948,3.12,0.40,10.6,6,white
6.8,0.1,0.27,8.6,0.044,45,104,0.9945,3.20,0.37,9.9,6,white
6.5,0.2,0.25,17.1,0.050,44,138,1.0001,3.30,0.37,8.8,5,white
7.9,0.5,0.24,2.0,0.072,15,105,0.9960,3.27,0.54,9.4,6,red
8.8,0.6,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,red
6.0,0.2,0.33,6.0,0.036,30,111,0.9936,3.32,0.58,10.1,7,white
5.5,0.2,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.6,6,white
7.6,0.3,0.29,2.5,0.059,37,115,0.9933,3.09,0.37,9.8,5,white
8.0,0.5,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6,red
7.7,0.3,0.48,2.3,0.040,28,114,0.9911,3.20,0.52,12.8,7,white
6.8,0.3,0.37,3.1,0.026,29,93,0.9904,3.14,0.45,12.2,6,white
8.0,0.4,0.32,2.5,0.080,26,122,0.9980,3.22,1.07,9.7,5,red
7.1,0.2,0.25,1.3,0.034,28,123,0.9915,3.27,0.55,11.4,6,white
8.5,0.5,0.28,2.0,0.110,18,133,0.9973,2.94,1.96,9.9,5,red
6.9,0.5,0.25,2.6,0.081,10,37,0.9969,3.46,0.50,11.0,5,red
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.60,9.0,6,red
7.4,0.6,0.19,1.8,0.082,15,34,0.9966,3.49,0.68,10.5,5,red
6.1,0.2,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6,white
8.3,0.2,0.37,7.9,0.025,38,107,0.9931,2.93,0.37,11.9,6,white
8.5,0.2,0.49,1.5,0.031,17,122,0.9932,3.03,0.40,10.3,6,white
6.5,0.2,0.32,2.9,0.037,41,115,0.9916,3.35,0.64,11.7,7,white
5.9,0.2,0.28,1.3,0.032,36,95,0.9889,3.08,0.64,12.9,7,white
7.1,0.4,0.79,1.4,0.194,23,90,0.9921,3.17,0.46,10.5,6,white
6.0,0.2,0.29,5.0,0.028,25,108,0.9908,3.14,0.34,12.3,6,white
7.0,0.4,0.25,5.7,0.015,14,73,0.9896,2.82,0.59,13.2,6,white
7.0,0.3,0.36,1.0,0.035,8,70,0.9899,3.09,0.46,12.1,6,white
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5,white
6.3,0.1,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,7,white
13.0,0.5,0.49,4.3,0.085,6,47,1.0021,3.30,0.68,12.7,6,red
6.8,0.2,0.29,10.4,0.046,59,143,0.9952,3.20,0.40,10.8,6,white
6.6,0.3,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,white
6.1,0.3,0.32,2.5,0.042,23,219,0.9935,3.27,0.60,9.8,5,white
7.4,0.2,0.30,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,white
6.6,0.3,0.26,4.6,0.031,26,120,0.9920,3.40,0.73,12.5,7,white
6.6,0.3,0.52,8.1,0.044,53,202,0.9955,3.18,0.48,9.5,5,white
10.4,0.3,0.48,1.9,0.066,6,10,0.9972,3.33,0.87,10.9,6,red
5.7,0.2,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6,white
7.0,0.2,0.27,8.6,0.046,37,223,0.9954,3.24,0.53,10.4,6,white
6.4,0.4,0.20,1.6,0.067,5,15,0.9960,3.41,0.56,9.3,5,red
8.2,0.6,0.26,2.2,0.060,28,65,0.9959,3.30,0.43,10.1,5,red
7.3,0.3,0.36,5.2,0.040,31,141,0.9931,3.16,0.59,11.0,6,white
6.6,0.2,0.35,2.6,0.030,33,78,0.9915,3.22,0.72,11.3,6,white
5.7,0.1,0.26,5.5,0.034,21,99,0.9932,3.09,0.57,9.9,6,white
6.7,0.3,0.26,4.0,0.079,36,216,0.9956,3.31,0.68,9.5,5,white
5.8,0.3,0.27,1.6,0.062,17,140,0.9914,3.23,0.35,11.1,6,white
6.0,0.3,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5,white
7.4,0.5,0.26,2.0,0.101,16,72,0.9957,3.15,0.57,9.4,5,red
7.2,0.2,0.34,2.7,0.032,49,151,0.9900,3.16,0.39,12.7,7,white
7.3,0.2,0.27,13.9,0.057,45,155,0.9981,2.94,0.41,8.8,8,white
6.8,0.2,0.31,18.3,0.046,40,142,1.0000,3.30,0.41,8.7,5,white
6.4,0.2,0.38,9.1,0.044,35,127,0.9933,2.97,0.30,11.0,7,white
8.2,0.6,0.27,2.0,0.095,5,77,0.9975,3.13,0.62,9.1,6,red
6.1,0.2,0.40,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,5,white
6.7,0.2,0.30,1.4,0.025,17,76,0.9910,3.11,0.44,11.0,6,white
8.6,0.8,0.00,2.8,0.095,17,43,0.9982,3.33,0.60,10.4,6,red
6.5,0.2,0.20,7.5,0.050,44,179,0.9950,3.18,0.48,9.5,5,white
6.6,0.2,0.23,17.3,0.047,37,118,0.9991,3.08,0.46,8.8,6,white
7.1,0.6,0.49,1.8,0.050,17,128,0.9946,3.31,0.58,10.6,4,white
6.8,0.2,0.26,12.7,0.048,53,137,0.9955,3.20,0.37,10.8,6,white
9.3,0.4,0.44,1.9,0.085,9,22,0.9971,3.28,0.55,9.5,5,red
9.9,0.5,0.26,2.0,0.111,7,60,0.9971,2.94,0.98,10.2,5,red
6.4,0.2,0.32,14.9,0.047,54,162,0.9968,3.28,0.50,10.2,6,white
5.9,0.3,0.30,2.0,0.030,38,142,0.9889,3.41,0.41,12.9,7,white
7.4,0.2,0.28,9.0,0.046,22,121,0.9947,3.10,0.55,10.8,5,white
10.0,0.6,0.31,2.2,0.090,26,62,0.9994,3.18,0.63,10.2,6,red
6.5,0.2,0.32,1.3,0.036,19,76,0.9896,3.18,0.41,12.3,6,white
8.0,0.3,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5,white
15.5,0.6,0.49,4.2,0.095,10,23,1.0032,2.92,0.74,11.1,5,red
7.6,0.2,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4,white
6.3,0.3,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6,white
8.8,0.6,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,red
8.2,0.2,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,6,white
7.3,0.6,0.00,1.9,0.095,15,39,0.9967,3.38,0.56,9.3,6,red
10.2,0.4,0.57,3.4,0.070,4,10,0.9971,3.04,0.63,9.6,5,red
8.0,0.5,0.31,2.1,0.082,18,145,0.9969,3.20,0.55,9.6,5,red
6.5,0.2,0.50,18.1,0.054,50,221,0.9994,2.94,0.64,8.8,6,white
5.6,0.5,0.13,4.5,0.039,17,116,0.9907,3.42,0.90,13.7,7,white
7.4,0.7,0.07,1.7,0.086,15,48,0.9950,3.12,0.48,10.0,5,red
6.3,0.2,0.34,1.2,0.036,32,96,0.9896,3.06,0.74,11.6,6,white
6.3,0.3,0.17,17.8,0.060,51,190,0.9992,3.13,0.48,8.8,6,white
7.4,0.5,0.47,2.0,0.086,21,73,0.9970,3.36,0.57,9.1,5,red
6.2,0.2,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7,white
7.8,0.6,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,red
6.7,0.3,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12.0,7,white
8.0,0.3,0.27,9.7,0.036,15,85,0.9941,2.99,0.36,11.2,6,white
9.4,0.3,0.57,2.0,0.073,26,66,0.9970,3.29,0.81,10.6,5,red
5.9,0.2,0.34,1.8,0.045,97,169,0.9905,3.39,0.89,11.8,8,white
7.0,0.4,0.32,10.1,0.045,37,131,0.9935,3.09,0.33,11.7,8,white
6.4,0.3,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5,white
6.4,0.2,0.50,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5,white
6.9,0.2,0.39,16.2,0.053,71,195,0.9989,3.18,0.64,10.3,6,white
